lon,lat
-6.366282,53.981024
-6.372955,53.964423
-6.378285,53.934882
-6.378977,53.916897
-6.372955,53.899319
-6.350819,53.881415
-6.317291,53.87108
-6.243235,53.865139
-6.243235,53.857652
-6.254018,53.839911
-6.254994,53.822211
-6.244985,53.806871
-6.222768,53.796291
-6.243276,53.782538
-6.248443,53.755764
-6.245798,53.729641
-6.241322,53.685614
-6.23644,53.670844
-6.229888,53.656562
-6.222768,53.646064
-6.213043,53.64057
-6.197987,53.634467
-6.187082,53.630072
-6.169789,53.605658
-6.142486,53.594468
-6.112457,53.585761
-6.092397,53.577135
-6.084462,53.56802
-6.077301,53.554633
-6.074941,53.53974
-6.081532,53.525946
-6.0985,53.509711
-6.103139,53.50316
-3.323476,56.365912
-3.311513,56.356513
-3.294016,56.352769
-3.251536,56.352851
-3.230621,56.356024
-3.188385,56.370185
-3.149566,56.375556
-2.950266,56.431871
-2.939931,56.438544
-2.930653,56.448065
-2.909088,56.455715
-2.884999,56.457994
-2.867909,56.45185
-2.850087,56.442043
-2.814768,56.440416
-2.802805,56.427965
-2.800893,56.408922
-2.808258,56.391059
-2.821604,56.376166
-2.837554,56.365912
-2.812978,56.365912
-2.809193,56.36286
-2.804758,56.349107
-2.802805,56.345404
-2.791493,56.342475
-2.782623,56.34162
-2.775258,56.339423
-2.768625,56.332343
-2.677154,56.328437
-2.655263,56.32217
-2.621205,56.304429
-2.613189,56.301907
-2.576812,56.283922
-2.576812,56.277777
-2.630116,56.248521
-2.648346,56.228705
-2.672027,56.222398
-2.720204,56.216295
-2.783599,56.191962
-2.806142,56.188381
-2.830719,56.190741
-2.892079,56.208889
-2.940053,56.209418
-2.964345,56.205634
-2.97468,56.19831
-2.982411,56.189114
-3.035553,56.167914
-3.091054,56.13227
-3.107533,56.126899
-3.127553,56.12287
-3.138295,56.112209
-3.152252,56.078518
-3.163564,56.06387
-3.178375,56.058092
-3.248443,56.055976
-3.268381,56.05093
-3.303049,56.037543
-3.342681,56.027167
-3.381825,56.023383
-3.420969,56.024888
-3.58259,56.051744
-3.671498,56.050849
-3.710032,56.058092
-3.745432,56.072211
-3.74649,56.072781
-3.782216,56.09219
-3.803131,56.107123
-3.817006,56.11225
-3.837473,56.112616
-3.837473,56.106431
-3.777699,56.082831
-3.769154,56.075141
-3.760854,56.072455
